Review_ID,Customer_ID,Product_Name,Review_Text,Rating,Review_Date,Region,Clean_Review,Sentiment,Month
1,4903,Headphones,Very bad quality and late delivery,1,2025-11-05 20:24:21.337362,North,bad quality late delivery,Negative,11
2,1440,Laptop,Product stopped working after few days,2,2025-11-21 20:24:21.337377,East,product stopped working days,Neutral,11
3,1068,Camera,Not worth the money,2,2025-02-15 20:24:21.337384,East,worth money,Positive,2
4,3838,Camera,Good quality and easy to use,4,2025-11-05 20:24:21.337390,North,good quality easy use,Positive,11
5,4536,Headphones,"Amazing experience, worth the price",4,2025-03-22 20:24:21.337395,South,amazing experience worth price,Positive,3
6,1431,Camera,"Amazing experience, worth the price",4,2025-10-09 20:24:21.337400,West,amazing experience worth price,Positive,10
7,1747,Laptop,Product stopped working after few days,2,2025-08-28 20:24:21.337405,North,product stopped working days,Neutral,8
8,3790,Camera,Very bad quality and late delivery,1,2025-03-18 20:24:21.337409,South,bad quality late delivery,Negative,3
9,2106,Headphones,Not worth the money,1,2025-12-03 20:24:21.337414,East,worth money,Positive,12
10,1875,Camera,Excellent quality and fast delivery,4,2025-08-08 20:24:21.337418,South,excellent quality fast delivery,Positive,8
11,4477,Headphones,Good quality and easy to use,5,2025-04-11 20:24:21.337423,East,good quality easy use,Positive,4
12,3758,Smartwatch,"Amazing experience, worth the price",4,2025-12-17 20:24:21.337427,South,amazing experience worth price,Positive,12
13,4866,Smartwatch,Good quality and easy to use,4,2025-07-22 20:24:21.337431,West,good quality easy use,Positive,7
14,3324,Laptop,Good quality and easy to use,4,2025-11-30 20:24:21.337436,East,good quality easy use,Positive,11
15,1838,Smartwatch,Poor service and damaged product,1,2025-01-24 20:24:21.337440,South,poor service damaged product,Negative,1
16,3391,Smartwatch,Not worth the money,2,2025-06-26 20:24:21.337444,South,worth money,Positive,6
17,2627,Smartwatch,"Amazing experience, worth the price",5,2025-09-29 20:24:21.337448,West,amazing experience worth price,Positive,9
18,3709,Camera,Good quality and easy to use,5,2025-11-11 20:24:21.337453,South,good quality easy use,Positive,11
